DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;CD_CARGO;DS_CARGO;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_LOCAL_VOTACAO;SQ_CANDIDATO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO
01/11/2022;16:05:25;2022;2;ELEIÇÃO ORDINÁRIA;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;MG;MG;MINAS GERAIS;49573;PASSOS;209;251;7;DEPUTADO ESTADUAL;22402;ABNER FARIA OLIVEIRA;1;1759;130001619028;ESCOLA MUNICIPAL JALILE BARBOSA CALIXTO;AVENIDA ANTONIO ADAO DA SILVA, 04
01/11/2022;16:05:25;2022;2;ELEIÇÃO ORDINÁRIA;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;MG;MG;MINAS GERAIS;49573;PASSOS;209;276;6;DEPUTADO FEDERAL;3510;ADELANE BARBOSA SILVA;1;1759;130001713859;ESCOLA MUNICIPAL JALILE BARBOSA CALIXTO;AVENIDA ANTONIO ADAO DA SILVA, 04
01/11/2022;16:05:25;2022;2;ELEIÇÃO ORDINÁRIA;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;MG;MG;MINAS GERAIS;49573;PASSOS;209;286;7;DEPUTADO ESTADUAL;13000;ADRIANA CRISTINA FABIANO DE SOUZA;1;1759;130001607419;ESCOLA MUNICIPAL JALILE BARBOSA CALIXTO;AVENIDA ANTONIO ADAO DA SILVA, 04
01/11/2022;16:05:25;2022;2;ELEIÇÃO ORDINÁRIA;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;MG;MG;MINAS GERAIS;49573;PASSOS;209;286;7;DEPUTADO ESTADUAL;12212;ALENCAR MAGALHAES DA SILVEIRA JÚNIOR;3;1759;130001606717;ESCOLA MUNICIPAL JALILE BARBOSA CALIXTO;AVENIDA ANTONIO ADAO DA SILVA, 04
01/11/2022;16:05:25;2022;2;ELEIÇÃO ORDINÁRIA;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;MG;MG;MINAS GERAIS;49573;PASSOS;209;217;7;DEPUTADO ESTADUAL;27091;ALESSANDRA CASTRO RODRIGUES;1;1759;130001611576;ESCOLA MUNICIPAL JALILE BARBOSA CALIXTO;AVENIDA ANTONIO ADAO DA SILVA, 04
01/11/2022;16:05:25;2022;2;ELEIÇÃO ORDINÁRIA;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;MG;MG;MINAS GERAIS;49573;PASSOS;209;235;7;DEPUTADO ESTADUAL;22333;ALESSANDRA DINIZ PORTELA SILVEIRA;4;1759;130001619043;ESCOLA MUNICIPAL JALILE BARBOSA CALIXTO;AVENIDA ANTONIO ADAO DA SILVA, 04
01/11/2022;16:05:25;2022;2;ELEIÇÃO ORDINÁRIA;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;MG;MG;MINAS GERAIS;49573;PASSOS;209;251;6;DEPUTADO FEDERAL;1000;ALESSANDRA SILVA RIBEIRO;1;1759;130001619742;ESCOLA MUNICIPAL JALILE BARBOSA CALIXTO;AVENIDA ANTONIO ADAO DA SILVA, 04
01/11/2022;16:05:25;2022;2;ELEIÇÃO ORDINÁRIA;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;MG;MG;MINAS GERAIS;49573;PASSOS;209;276;6;DEPUTADO FEDERAL;4522;ALEX CAVALCANTE GONÇALVES;5;1759;130001613355;ESCOLA MUNICIPAL JALILE BARBOSA CALIXTO;AVENIDA ANTONIO ADAO DA SILVA, 04
01/11/2022;16:05:25;2022;2;ELEIÇÃO ORDINÁRIA;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;MG;MG;MINAS GERAIS;49573;PASSOS;209;235;3;GOVERNADOR;55;ALEXANDRE KALIL;323;1759;130001621812;ESCOLA MUNICIPAL JALILE BARBOSA CALIXTO;AVENIDA ANTONIO ADAO DA SILVA, 04
01/11/2022;16:05:25;2022;2;ELEIÇÃO ORDINÁRIA;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;MG;MG;MINAS GERAIS;49573;PASSOS;209;276;5;SENADOR;555;ALEXANDRE SILVEIRA DE OLIVEIRA;437;1759;130001713762;ESCOLA MUNICIPAL JALILE BARBOSA CALIXTO;AVENIDA ANTONIO ADAO DA SILVA, 04
01/11/2022;16:05:25;2022;2;ELEIÇÃO ORDINÁRIA;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;MG;MG;MINAS GERAIS;49573;PASSOS;209;276;5;SENADOR;142;ALTAMIRO ALVES DA SILVA;2;1759;130001610978;ESCOLA MUNICIPAL JALILE BARBOSA CALIXTO;AVENIDA ANTONIO ADAO DA SILVA, 04
01/11/2022;16:05:25;2022;2;ELEIÇÃO ORDINÁRIA;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;MG;MG;MINAS GERAIS;49573;PASSOS;209;251;7;DEPUTADO ESTADUAL;11311;ANDERSON LUIZ COSTA;2;1759;130001615624;ESCOLA MUNICIPAL JALILE BARBOSA CALIXTO;AVENIDA ANTONIO ADAO DA SILVA, 04
01/11/2022;16:05:25;2022;2;ELEIÇÃO ORDINÁRIA;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;MG;MG;MINAS GERAIS;49573;PASSOS;209;251;7;DEPUTADO ESTADUAL;44777;ANDRE HUSEMANN PATTI;1;1759;130001607668;ESCOLA MUNICIPAL JALILE BARBOSA CALIXTO;AVENIDA ANTONIO ADAO DA SILVA, 04
01/11/2022;16:05:25;2022;2;ELEIÇÃO ORDINÁRIA;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;MG;MG;MINAS GERAIS;49573;PASSOS;209;276;6;DEPUTADO FEDERAL;7040;ANDRE LUIS GASPAR JANONES;54;1759;130001608227;ESCOLA MUNICIPAL JALILE BARBOSA CALIXTO;AVENIDA ANTONIO ADAO DA SILVA, 04
01/11/2022;16:05:25;2022;2;ELEIÇÃO ORDINÁRIA;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;MG;MG;MINAS GERAIS;49573;PASSOS;209;217;6;DEPUTADO FEDERAL;3012;ANDRE LUIZ LEMES VILAS BOAS;1;1759;130001598362;ESCOLA MUNICIPAL JALILE BARBOSA CALIXTO;AVENIDA ANTONIO ADAO DA SILVA, 04
01/11/2022;16:05:25;2022;2;ELEIÇÃO ORDINÁRIA;1;546;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;E;MG;MG;MINAS GERAIS;49573;PASSOS;209;235;7;DEPUTADO ESTADUAL;22123;ANTONIO CARLOS ARANTES;11;1759;130001619030;ESCOLA MUNICIPAL JALILE BARBOSA CALIXTO;AVENIDA ANTONIO ADAO DA SILVA, 04
