endereco,lat,lon
"RUA ANTONIO CELESTINO, 909, Passos, MG, Brasil",-20.714409,-46.6087112
"RUA AURORA, 138, Passos, MG, Brasil",-20.7247762,-46.6036883
"RUA JANAUBA, 25, Passos, MG, Brasil",-20.7103189,-46.6287981
"RUA LEOPOLDINA , 45, Passos, MG, Brasil",-20.7029043,-46.6172011
"AVENIDA JUCA STOCKLER, 1130, Passos, MG, Brasil",-20.7189,-46.6097
"RUA MARIO RIBOLA, 409, Passos, MG, Brasil",-20.7140166,-46.6273211
"RUA TAPAJOS, 1984, Passos, MG, Brasil",-20.8611122,-46.3738825
"RUA PARDAL, 151, Passos, MG, Brasil",-20.7369726,-46.606862
"AVENIDA PERIMETRAL, 538, Passos, MG, Brasil",-20.7033733,-46.6094801
"RUA DA IMPRENSA, 195, Passos, MG, Brasil",-20.7300526,-46.6022184
"RUA DR DARCY DE PAULA SILVEIRA 10, Passos, MG, Brasil",-20.7063689,-46.6220592
"RUA RIO TIETE, 51, Passos, MG, Brasil",-20.7059691,-46.5984451
"AVENIDA DR. BRENO SOARES MAIA, 681, Passos, MG, Brasil",-20.7346492,-46.602938
"RUA MOGIANA, S/N, Passos, MG, Brasil",-20.7086585,-46.6103471
"RUA DR. SATURNINO, 300, Passos, MG, Brasil",-20.7226754,-46.6109459
"RUA CRISTIANO STOCKLER, 271, Passos, MG, Brasil",-20.7203456,-46.6078188
"RUA SANTO ANIBALE MARIA DI FRANCIA, 181, Passos, MG, Brasil",-20.7189,-46.6097
"RUA JOAQUIM PIANTINO, 831, Passos, MG, Brasil",-20.7206051,-46.6006017
"RUA TENENTE VASCONCELOS, 836, Passos, MG, Brasil",-20.7153591,-46.6114464
"RUA SANTO ANIBALI MARIA DI FRANCIA , 43, Passos, MG, Brasil",-20.7189,-46.6097
"RUA DEP. LOURENCO DE ANDRADE, 550, Passos, MG, Brasil",-20.7211255,-46.6086169
"RUA DOS ESTUDANTES, 351, Passos, MG, Brasil",-20.7186478,-46.6173364
"RUA JAIME GOMES, 650, Passos, MG, Brasil",-20.7211612,-46.615925
"TRAVESSA DEZOITO DE SETEMBRO, 155, Passos, MG, Brasil",-20.7147458,-46.6209544
"RUA GOIAS, 1572, Passos, MG, Brasil",-20.7069092,-46.6065652
"RUA PONTA PORA, 450, Passos, MG, Brasil",-20.7128634,-46.599743
"AVENIDA ANTONIO ADAO DA SILVA, 04, Passos, MG, Brasil",-20.7197192,-46.6316803
"RUA OPALA, 495, Passos, MG, Brasil",-20.7549094,-46.6005763
"RUA CANAPE, 79, Passos, MG, Brasil",-20.7189,-46.6097
"RUA VEREADOR ANTONIO MAGALHÃES SILVEIRA, 240, Passos, MG, Brasil",-20.7198424,-46.6362476
"RUA PECUARIA, 470, Passos, MG, Brasil",-20.7280055,-46.6185864
"RUA BRIGADEIRO WILSON NOGUEIRA, 449, Passos, MG, Brasil",-20.7254717,-46.6233264
"RUA GUANABARA, 875, Passos, MG, Brasil",-20.7051616,-46.6014927
"RUA ANA CANDIDA DE JESUS, 251, Passos, MG, Brasil",-20.7509517,-46.6039126
"RUA PRATAPOLIS, 1065, Passos, MG, Brasil",-20.698159,-46.6127738
"RUA GUANABARA, 875, PASSOS, MG, Brasil",-20.7051616,-46.6014927
"RUA DR. SATURNINO, 300, PASSOS, MG, Brasil",-20.7233817,-46.6148175
"RUA SANTO ANIBALE MARIA DI FRANCIA, 181, PASSOS, MG, Brasil",-20.7167803,-46.6156864
"RUA CANAPE, 79, PASSOS, MG, Brasil",-20.7167803,-46.6156864
"RUA OPALA, 495, PASSOS, MG, Brasil",-20.7549094,-46.6005763
"AVENIDA PERIMETRAL, 538, PASSOS, MG, Brasil",-20.7241962,-46.6240792
"RUA DEP. LOURENCO DE ANDRADE, 550, PASSOS, MG, Brasil",-20.7132922,-46.6112134
"RUA CRISTIANO STOCKLER, 271, PASSOS, MG, Brasil",-20.7203456,-46.6078188
"RUA SANTO ANIBALI MARIA DI FRANCIA , 43, PASSOS, MG, Brasil",-20.7167803,-46.6156864
"RUA DOS ESTUDANTES, 351, PASSOS, MG, Brasil",-20.7186478,-46.6173364
"TRAVESSA DEZOITO DE SETEMBRO, 155, PASSOS, MG, Brasil",-20.7156183,-46.6211416
"RUA JANAUBA, 25, PASSOS, MG, Brasil",-20.7103189,-46.6287981
"RUA LEOPOLDINA , 45, PASSOS, MG, Brasil",-20.7029043,-46.6172011
"RUA TENENTE VASCONCELOS, 836, PASSOS, MG, Brasil",-20.7148434,-46.6079509
"RUA ANTONIO CELESTINO, 909, PASSOS, MG, Brasil",-20.7161586,-46.6088171
"RUA GOIAS, 1572, PASSOS, MG, Brasil",-20.710152,-46.6030033
"RUA AURORA, 138, PASSOS, MG, Brasil",-20.7247762,-46.6036883
"RUA DA IMPRENSA, 195, PASSOS, MG, Brasil",-20.7300526,-46.6022184
"AVENIDA DR. BRENO SOARES MAIA, 681, PASSOS, MG, Brasil",-20.7317205,-46.6039268
"RUA PARDAL, 151, PASSOS, MG, Brasil",-20.7369726,-46.606862
"AVENIDA JUCA STOCKLER, 1130, PASSOS, MG, Brasil",-20.7167803,-46.6156864
"RUA TAPAJOS, 1984, PASSOS, MG, Brasil",-20.8611122,-46.3738825
"RUA JAIME GOMES, 650, PASSOS, MG, Brasil",-20.7211612,-46.615925
"RUA BRIGADEIRO WILSON NOGUEIRA, 449, PASSOS, MG, Brasil",-20.7254717,-46.6233264
"RUA RIO TIETE, 51, PASSOS, MG, Brasil",-20.7167803,-46.6156864
"RUA MOGIANA, S/N, PASSOS, MG, Brasil",-20.7086585,-46.6103471
"AVENIDA ANTONIO ADAO DA SILVA, 04, PASSOS, MG, Brasil",-20.717304,-46.6426456
"RUA JOAQUIM PIANTINO, 831, PASSOS, MG, Brasil",-20.7206051,-46.6006017
"RUA VEREADOR ANTONIO MAGALHÃES SILVEIRA, 240, PASSOS, MG, Brasil",-20.7198424,-46.6362476
"RUA PECUARIA, 470, PASSOS, MG, Brasil",-20.7280055,-46.6185864
"RUA DR DARCY DE PAULA SILVEIRA 10, PASSOS, MG, Brasil",-20.7063689,-46.6220592
"RUA PONTA PORA, 450, PASSOS, MG, Brasil",-20.7128634,-46.599743
"RUA MARIO RIBOLA, 409, PASSOS, MG, Brasil",-20.7140166,-46.6273211
